# Source: ChEMBL 37 - CC BY-SA 3.0 -- https://www.ebi.ac.uk/chembl
,chembl_n_compounds
SIRT1,745
METAP1,226
SIK3,165
TRPM8,781
ENPP1,439
JAK1,10506
CDK1,1500
SLC22A1,114
RPS6KA6,110
RAF1,2812
P4HB,285
CDKL5,21
RORC,10775
GRK1,48
WEE1,1123
MAP2K2,222
RPMI,0
BBOX1,88
PSMC3,2
EPHA4,141
SSTR5,911
DHODH,1918
EDNRB,1098
TARDBP,7
OXSR1,15
MMP13,2829
CATSPER1,2
CLPP,210
CA12,4966
PSMD11,4
PSMC6,2
ATP5B,2
MAP2K5,114
CDC42,799
MATK,57
CDK11A,48
PLK3,417
ADRM1,3
PDE2A,2690
EPHA3,71
UBA2,1
MAPK9,1162
RRM2B,0
SLC16A3,358
FIBCD1,0
TGFBR1,2690
ADRA1D,1379
XPNPEP1,41
CDK17,44
EPAS1,440
ADORA2A,6765
PRKACA,1148
MAP3K21,1
CXCR4,1032
EPHB2,99
TACC3,0
RPST,0
ULK2,56
CACNA1F,0
STAT3,1240
LOX,2375
GRK7,36
CHRNA1,25
LOXL2,380
LCK,2380
TEK,966
USP14,211
PDGFRB,1995
GRK5,329
PSMB2,239
CCNB2,2
AKR1B10,162
KSR1,1
GRB2,270
CDK15,16
AMPC,0
CSNK1A1,450
AKT2,1142
DDC,2
PDE4D,1774
GRK2,404
BCL2L10,2
KCNE2,0
UBA1,2
ERAP1,332
ABL1,3125
NIM1K,16
EPHA1,72
LONP1,26
LIMK1,723
MMP2,14
NTSR2,149
PTPN6,247
EGFR,11202
KSR2,0
KCTD16,0
PDE4A,972
LMTK3,11
CTSG,230
PIK3R1,161
MMP12,713
RIPK2,712
IRAK1,682
INSRR,29
MC5R,806
PDE7A,697
NAE1,14
TP53RK,10
TXNRD1,82
STK17A,425
PRKG1,234
USP7,640
RPLE,0
ATP1A1,7
PIK3C2B,219
CDK20,1
PIP4K2A,180
PIR,10
GLRA1,83
CASP6,702
POLE2,0
P2RX7,4819
SULT1A1,6
APEX1,864
TYRO3,1899
CSNK1G2,281
HTR4,751
HMGCR,293
BCL2A1,158
NANH,55
FARSB,4
FER,364
MRAY,0
SYK,5292
MAP2K6,44
CHRNA7,1586
NLK,438
RIDA,0
MAP3K15,9
RSL24D1,0
PRKCG,366
THRAP3,3
HIPK1,78
CCND1,4
FABG,0
UBE2M,4
PMM2,51
ATM,3760
GCK,1056
GRM2,1874
ALPL,899
FBP1,2
HMGB1,26
RPLD,0
RB1,1627
DNMT1,441
CA1,7643
METG,0
PSMA8,0
CTSA,785
PBK,277
RPMG,0
KCNE3,0
NUAK1,167
CCNB3,0
FNTA,1
PRKG2,108
ELANE,2534
TCF7,0
F2RL1,216
PDPK1,1246
AHR,420
MARK2,341
CDKL3,12
RPLV,0
PRMT3,99
BCHE,3798
CA2,8816
RPLX,0
PIP5K1C,97
RIOK1,28
SIK2,244
TESK1,26
POLD1,4
FOXO1,22
MST1,319
ERN1,653
MAPK4,11
DCLK2,15
YKGO,0
PSMD2,2
MAP2K1,1100
STK24,72
GLRB,0
PRKAB2,5
DAO,26
DOHH,5
NUAK2,65
CYCS,5
CDKN1A,13
SLC22A3,35
CYP1A2,11201
PRKX,285
IMPDH1,162
EPHA8,49
YKGM,0
U38,0
ERBB3,75
ERN2,8
MLNR,350
RPLP,1
SORT1,97
PSMB5,1236
GRIA4,112
ALDH2,162
ARFGEF1,2
HSPE1,2
GSDMD,2
PAK4,616
CCND2,0
PHKB,2
CSNK1E,1168
HDAH,0
KIF11,971
MCL1,3412
NCE103,0
NOS3,788
BAX,43
HNRNPA1,1
1272966,0
ENV,0
PSMD13,1
TH,11202
PTPN2,902
RPOA,0
IDH1,4300
MARK1,40
CDK2,2654
MAP3K12,1011
IMPDH2,615
MAP4K3,207
MAOB,4940
CALY,0
PRMT5,1325
NPSR1,15047
SLC47A2,34
MUS81,0
LPDC,0
TSPO,0
RPL23,2
ROCK1,2776
POLR2A,1
MDM2,4930
HASPIN,228
BMP2K,123
RPSM,0
PDE5A,2185
CAMK4,31
STK3,525
CCKAR,479
PPO1,0
DSTYK,21
GPM3,0
THYA,0
ACVR1B,171
POU2F2,11
MAPKAPK3,63
NOS1,1188
RPS6KA4,78
STK32C,8
MMP1,2829
WEE2,18
GRIN3B,0
RPSB,0
DYRK3,571
EPHA6,46
CDC25B,569
OGFR,419
SRPK2,50
TAOK3,113
CTSS,2540
IGF1R,2522
GBF1,0
CDC42BPB,248
DMPK,342
NEK4,191
PEPD,53
TIE1,51
SLC22A2,112
SNCA,489
CSNK2A2,333
KIT,3186
CDK9,1781
NEDD8,630
STK4,242
IGF2R,16
MYLK3,37
PLK4,770
AURKA,3462
ATIC,65
DYRK2,576
KCNC1,1
RPLY,0
CACNA1C,255
CPA1,78
ACVR1,171
PGR,2187
CDC25A,309
CES1,350
PRKCE,442
PKD2L1,0
STK36,27
RPOZ,0
POLA1,64
HTR1E,126
CCNC,0
CYP2C8,467
RPLF,0
MYLK4,53
PRKCQ,1061
AKR1C2,428
TSSK3,8
ERBB2,2621
STK39,44
ATP4A,0
TGFB1,5
RRM2,13
BLA,744
RPSG,0
HTR6,4402
MAK,9
KCNQ5,12
RPS6KA3,868
HCK,1468
EIF2AK2,124
PSMB11,0
FYN,1236
CAMK2A,147
CTSC,947
PRMT6,183
RPL11,1
RPSP,0
PARP1,4576
MGLL,2114
NQO2,378
CCNB1,3
DAPK3,411
KCNQ3,4
OSR1,15
CCNH,2
MINK1,418
PORCN,62
NEK11,12
RPSJ,0
PRKAG1,27
BOTA,0
PAK3,35
IKBKE,496
PSMB9,138
ABCB1A,0
DBF4,0
RPSA,0
MAPK6,173
PIM1,4999
SSTR3,825
SLC2A3,152
BDKRB2,553
TRPM6,2
RIOK2,70
RPSQ,0
TNIK,534
EPHB1,46
PKMYT1,175
PSMA5,2
RAB9A,21934
HK2,776
INHA,1
CATSPER3,0
CSNK1D,1468
MAP4K2,609
EPHA5,52
ECE1,353
PHKG2,174
IRF3,1
SUCLA2,3
TOP1B,0
PIK3R2,900
RPSL,0
DCLK1,109
PRNP,250
NPY2R,784
CDKL2,32
CHRNB2,1
TACR2,949
P2RX2,461
OLA1,64
FGFR1,4163
BCL2L2-PABPN1,0
CCNA1,0
CCR2,2105
RPL23A,2
RELA,444
TAT,991
MELK,1075
PRIM2,0
HIPK4,338
HTR1F,126
CLK3,919
AVPR1A,1592
PIP5K1A,34
F3,2
PSMA3,2
AAK1,1019
LATS2,60
HSPD1,2
WDR5,1706
MAPK1,254
SENP2,77
RNPEPL1,0
LRRK1,0
CDC42BPA,342
PRKAG3,0
ARAF,34
MAP3K14,1345
PDK1,1246
TRPA1,1822
RPS6KB1,1918
TNK1,174
PSMA7,2
RPSK,0
LIMK2,321
DRD1,1746
STAT5B,70
MAP3K1,214
APP,6627
ATP4B,0
CHUK,452
CHEK2,805
RPMD,0
US28,0
MTNR1B,985
TP53,16995
METAP2,1040
MAP4K1,3228
FOXM1,26
POLE4,0
SLK,1236
MARK4,105
CMPK1,3
RPL13A,1
CYP2B6,234
YAP1,104
CCNO,1
RIPK3,298
CAPN2,166
GARS1,3
STK26,105
MAP3K3,42
PETD,0
BCL9,1
ELAVL3,6
CDK3,48
STK17B,171
PDGFRA,938
EIF2AK4,474
PSMA6,3
RPL15,1
CA9,6197
CA4,166
BAD,106
DLK1,33
SAE1,12
MAP3K8,226
PSMC4,4
KCTD12,29
GPX4,106
CAMK1D,254
KARS1,91
CSK,6
IPMK,8
CCNK,1
PRKAB1,24
CLK2,1660
PAK5,30
PSMA2,1
BRD4,9338
RPMH,0
MRCA,210
RPOC,0
JUN,130
CCND3,1
RPMA,0
CDK5R1,31
GSTO1,75
NTSR1,650
UBA3,1
SGK3,29
CYP3A5,47
PRP4K,16
TPH1,788
CDK14,33
RPLL,1
TACR1,2567
ADRB2,2221
LAP3,2799
CSNK2A3,0
SLC16A1,350
DYRK4,316
CCNT1,186
PIK3CA,7732
EHMT2,681
GRIA2,307
CSF1R,2639
PAH,1
APRT,2
GFER,1431
MAPK15,59
POLE3,2
NTRK2,821
PRE3,0
FES,126
PLK1,1550
MAP3K19,71
RPLM,0
CNR2,7901
TYK2,6175
AR,8816
KIF5B,1
