,cns_expressed
TSSK2,0
RNPEP,1
TPR,1
NR1D1,1
NEK11,1
PAK3,1
MAPK13,1
MAPK10,1
TBK1,1
CACNA2D1,1
HCAR2,0
PRKCI,1
PTK6,1
YKGM,0
GCK,1
RPLU,0
TCF7,1
OXSR1,1
GSTO1,1
TP53,1
SLC22A1,0
SIRT1,1
COQ8A,1
PIK3CA,1
GAK,1
CDKN1A,1
SIRT5,1
RPLC,0
MMP2,1
SCN2A,1
HUNK,1
TPH1,0
OPG071,0
MTNR1B,0
ADRA1B,1
JAK2,1
SLC16A3,1
CHRM5,1
RPL26L1,1
ARFGEF1,1
TNF,0
PSMC2,1
OPRM1,0
PHKG2,1
NANH,1
PRKCD,1
STK17B,1
TIE1,1
MAPK15,1
NEK9,1
XPNPEP3,1
RSL24D1,1
TRPM6,1
PLK4,1
PRKG1,1
BCL2L2,1
RPSI,0
PIK3R1,1
SUCLA2,1
HIPK2,1
POLD4,1
NEK5,0
RPLQ,0
CHRNA4,1
PRKCE,1
PDE4A,1
PRIM1,1
ADAMTS4,1
PHKA1,1
PBK,0
CHD1,1
HLA-A,1
RARG,1
PDE2A,1
KDM4B,1
CHUK,1
FYN,1
PSMA8,0
MAOB,1
PRKCA,1
U38,0
GROL,0
PTPRCAP,0
FABI,1
TP53RK,1
HTR1D,0
GRK1,0
RPL23,1
NEK8,1
GPR35,1
AURKB,1
EPHA3,1
HMGB1,1
CES2,1
RPLD,0
PIR,1
BDKRB1,0
MAP3K6,1
MAP3K7,1
STAT6,1
GSK3-BETA,1
CCKBR,1
CDK10,1
ULK2,1
FOLR1,1
CLPP,1
CES1,1
ABL1,1
XPO1,1
EPHA2,1
AGTR2,0
TTK,1
ETFB,1
RPLR,0
STK17A,1
BMPR2,1
HSPA1A,1
PKN3,1
CA3,0
PSMA1,1
CDK14,1
PSMA7,1
ATM,1
STK36,1
ANKK1,0
NEK3,1
WNK2,1
HRH1,1
AAK1,1
TNK2,1
GSK3A,1
GRIA3,1
CCNA2,1
CA7,1
CPA1,0
ASAH1,1
EPHA1,1
RNASEL,1
ABCB1A,0
DAPK2,1
MAP3K11,1
RPLO,0
PIK3CG,0
DAO,1
KARS1,1
PRKAG2,1
MMP1,0
EPHB4,1
WDR5,1
MMP9,0
NTSR2,1
SYNJ2,1
MAP3K15,0
CHRM3,1
CAMK4,1
ENPEP,1
KMT2A,1
MAP3K14,1
PRKACG,0
PRKCQ,1
HDAC11,1
PSMB1,1
RPLW,0
RIOK1,1
BMP2K,1
BOTA,0
PLK3,1
PDK1,1
GRIN1,1
SLC25A6,1
MPO,0
KCNN3,1
MPI,1
DPP4,1
RPSO,0
ADORA2A,0
TET2,1
NR1H4,0
PNCK,1
MAOA,1
BMPR1B,1
PHKA2,1
WEE2,0
TDO2,0
HTR6,1
EPHA5,1
USP14,1
AKR1C4,0
POS-1,0
MAP3K20,1
INSRR,0
MAP3K9,1
MAP4K2,1
KCTD12,1
GBA1,1
VEGFA,1
NUAK1,1
SNCA,1
LIMK2,1
PAK2,1
TLK1,1
RPMG,0
CSNK1A1L,0
CTSS,1
CAMK1G,1
SLC22A3,1
STK24,1
ILK,1
CYNT,1
EPHB6,1
RPLM,0
ERN1,1
KSR1,1
GRIA4,1
SYK,1
TH,1
CASP1,1
FGFR1,1
CSF1R,1
RB1,1
PRKD3,1
NEK10,1
PIK3R2,0
KDM1A,1
TBXA2R,1
ATP5C1,1
ECE1,1
NFKB1,1
CYP2C9,0
DLAT,1
CASP3,1
STK35,1
EIF2AK2,1
CDK13,1
PAK5,1
PRKAG1,1
PIP5K1A,1
GNRHR,0
DOHH,1
YAP1,1
CLK2,1
PMM2,1
SGK2,1
MDH1,1
SLC25A5,1
RPS6KB1,1
PRKCZ,1
CHRNA1,0
ALOX5,1
PTK2,1
RPSQ,0
EIF2A,1
BDKRB2,1
HTR5A,1
GABRA4,1
ACHE,1
FIBCD1,1
CSNK2B,1
MTOR,1
RCE1,1
ENV,0
CACNA1C,1
POLA2,1
GABRD,1
BIRC3,1
PRKCH,1
PSMA5,1
POLD3,1
MKNK1,1
CDC25B,1
PRE3,0
PTGIR,1
SCN3A,1
MELK,1
CATSPER2,1
RPL13A,1
PSMA6,1
CALM1,1
RPLL,0
RRM1,1
PIM2,1
NIM1K,1
PKM,1
HDAC1,1
NORA,1
GABRA1,1
RPSB,0
NTRK2,1
RIOK2,1
NPY2R,0
RPL37,1
XPNPEP1,1
HDAC7,1
CSNK1A1,1
SORT1,1
NSD2,1
CDK20,1
SLC12A5,1
HSP90AB1,1
TNNI3K,0
GABRE,1
SIRT6,1
HSD17B2,0
KCNQ1,1
BCR,1
KCNC2,1
ANPEP,1
PRP4K,1
KCNJ4,1
PSMB6,1
PLK2,1
SUGE,1
IRF3,1
RCOR3,1
HEXA,1
NEK2,1
HSP90AA1,1
ADA,1
CDK7,1
HTR1B,0
CCNE1,1
CSNK1G2,1
ATIC,1
AOX1,1
ATP5B,1
ATP1A1,1
EHMT2,1
RPOC,0
TRPV1,0
STK32A,1
CDK16,1
FABG,1
CASP9,1
POU2F2,1
KCNA5,1
HMGCR,1
IKBKE,1
TAB1,1
PDE5A,1
CHEK1,1
SRC,1
GRM2,1
CDK9,1
GSK3B,1
ACER2,0
NEK7,1
ERBB2,1
PSMD1,1
HTR4,0
HTR3C,0
SGK1,1
MMP8,0
PRKAB2,1
PIM3,1
KCNH1,1
FES,1
CYP2E1,1
TSPO,1
MAP2K6,1
ALOX15,0
CCNC,1
PSMB3,1
FBP1,1
PPO1,0
ADRB3,0
RPLE,0
RPLB,0
OPRL1,1
PIK3CB,1
BLA,1
CNR1,1
FGFR2,1
GABBR2,1
HDAH,0
NPY1R,1
RPST,0
MDM4,1
ATP2A1,1
GLRA1,0
TCF4,1
CTSA,1
RAC1,1
HDAC10,1
NFKB2,1
SEM1,1
ERAP1,1
VCP,1
MTR,1
MAP3K21,1
SF3B3,1
CHRM2,0
HTR1F,0
CCNB2,1
PKN2,1
MAP3K13,1
RPSU,0
TACR1,1
VRK2,1
GSDMD,1
RORC,1
RPLA,0
GRK4,1
LOXL3,1
DSTYK,1
DCLK2,1
ADORA1,1
CYCS,1
PRKD1,1
DRD5,1
PARP2,1
CDKL3,0
POU2F1,1
PGR,1
MAP2K4,1
CCR8,0
GBF1,1
DLK1,1
DAPK3,1
HDAC9,1
RPS6KA6,1
IDO2,0
PDE4B,1
MAPK3,1
RPLJ,0
GBA,1
ULK1,1
NCOA3,1
CA15,1
MARK2,1
TRPV4,1
PETD,0
HSD17B1,1
POL,1
ABCA1,1
BRSK2,1
POLE3,1
RIOK3,1
CDK19,1
TDP1,1
TGFBR2,1
F2RL1,0
GRIK2,1
PSMC3,1
CAMK2B,1
CYP3A4,0
TEC,0
SLC25A4,1
S,0
CTSH,1
MAPK14,1
STK3,1
CSNK1D,1
GABRB2,1
GABRB3,1
EZH2,1
SLC6A2,0
CDC25A,0
ALB,0
PKD2,1
TOP2B,1
MST1R,0
RPS6KA5,1
OPRK1,1
TYMS,1
APEX1,1
GPM3,0
JAK1,1
MC4R,0
MAPKAPK2,1
NS3,1
REP,1
PSMC5,1
RPL10L,0
AKR1C2,1
P4HB,1
ADRA1D,1
KCNS3,1
GRIN3A,1
F13A1,1
KCNAB2,1
TSSK1B,0
GRK3,1
CSNK1G1,1
PDE4D,1
RPL11,1
PLK1,1
NTRK3,1
KCTD16,1
CA12,1
AMPC,0
GABRP,0
NISCH,1
SRPK2,1
CYTH2,1
PSMD12,1
PDE7B,1
KIF5B,1
CDK18,1
FOXO1,1
RPS6KA1,1
CYP19A1,1
RIPK4,1
HDAC4,1
UBE2M,1
RPLS,0
RPLK,0
PSMD14,1
CISD1,1
PPME1,1
ALDH2,1
MAPKAPK5,1
XPNPEP2,1
PRKAG3,0
AKR1B10,0
CRBN,1
CASP8,1
POLD1,1
PLCG1,1
RAB9A,1
CBR1,1
DRD2,1
RPS6KB2,1
MAPKAPK3,1
LATS1,1
CACNA1S,1
DYRK4,1
BRD4,1
CYP3A5,0
PHKG1,1
GAA,1
POLE4,1
INSR,1
GRK2,1
P2RX2,0
SLC46A1,1
AOPEP,1
PRKACA,1
MYT1,1
PSMD6,1
TYK2,1
PIP5K1C,1
HASPIN,0
MAPK8,1
HTR1E,1
RPMA,0
RPL15,1
HTR3E,0
ELANE,0
LOXL4,1
NOS1,1
NAPRT,1
P2RY12,1
FER,1
IPMK,1
PSMA3,1
NQO2,1
GABRA6,1
AR,1
BCL2L2-PABPN1,0
CCNO,0
RPOZ,0
MAP4K1,1
F3,1
USP2,1
DYRK1B,1
CTRB1,0
SLC6A3,1
MET,1
1272966,0
TXNRD1,1
UBA3,1
BACE1,1
CDK5,1
SSTR3,1
RPSS,0
P2RX7,1
CASP6,1
MINK1,1
PORCN,1
CCNH,1
JAK3,1
CDK3,0
TBXAS1,1
TAOK1,1
ABCC1,1
DCLK1,1
GABRG3,1
PDE4C,1
HSP90AB2P,0
MAPK11,1
RPLY,1
ASPH,1
ARFGEF2,1
GABRA2,1
HMOX1,1
EZH1,1
RPSH,0
EPAS1,1
RELA,1
KRAS,1
PSMB7,1
ADORA3,0
ATG7,1
FGFR3,1
CYP2C19,0
MMP13,0
ACVR2A,1
MAPK4,1
PIK3C2B,1
PFMRK,0
FRK,1
FGFR4,1
YARS1,1
FPGS,1
FDPS,1
MED23,1
METAP1D,1
PSMD13,1
GFER,1
STK38,1
ZAP70,1
ALOX15B,1
EDNRA,1
PRMT5,1
CDK12,1
AKT1,1
HDA106,0
PDE7A,1
THRAP3,1
TRAI,1
TMPRSS4,0
SIK1,0
SAE1,1
DRD1,1
RPSK,1
HSPD1,1
MYO3B,0
LCK,0
AURKA,1
ADRM1,1
PTR1,0
ATP4A,1
PPO4,0
TXN2,1
PNP,1
TSSK6,0
LIMK1,1
RPMB,0
CNR2,0
CDC42,1
CCNT2,1
CAMK2A,1
ARF1,1
PSBA,0
HTR2A,1
RPMJ,1
CTNNB1,1
GARS1,1
